uniprot_id,protein_name,organism,organism_id,gene_name,length,function
Q6JD72,TPS5C_MAIZE Inactive sesquithujene synthase,Zea mays,4577,TPS5,554,
Q86II4,TPS3_DICDI Terpene synthase 3,Dictyostelium discoideum,44689,TPS3,362,
Q9LIA1,TPS25_ARATH Terpenoid synthase 25,Arabidopsis thaliana,3702,TPS25,603,
A0A075F9Z3,"CPS2_MARVU ent-copalyl diphosphate synthase 2, chloroplastic",Marrubium vulgare,41230,CPS2,784,
A0A0A2JB87,TS1_PENEN (+)-aristolochene synthase TS1,Penicillium expansum,27334,TS1,331,
A0A0A2JP58,TS4_PENEN (+)-bicyclogermacrene synthase TS4,Penicillium expansum,27334,TS4,389,
A0A0H5BB17,RMNB_STRAQ Copalyl diphosphate synthase,Streptomyces anulatus,1892,rmnB,549,
A0A100IME0,A0A100IME0_ASPNG DNA topoisomerase (ATP-hydrolyzing),Aspergillus niger,5061,ABL_06523,722,
A0A1G9UQQ0,BDS_ALLAB Bonnadiene synthase,Allokutzneria albata,211114,SAMN04489726_2557,363,
A0A1G9VRW7,PMS_ALLAB Phomopsene synthase,Allokutzneria albata,211114,SAMN04489726_3184,339,
A0A1V0QSF8,"TS3FN_CANSA Myrcene synthase TPS3FN, chloroplastic",Cannabis sativa,3483,TPS3FN,632,
A0A1V0QSG1,"T13PK_CANSA (Z)-beta-ocimene synthase TPS13PK, chloroplastic",Cannabis sativa,3483,TPS13PK,640,
A0A1V0QSH1,TS6FN_CANSA (E)-beta-ocimene synthase TPS6FN,Cannabis sativa,3483,TPS6FN,594,
A0A251S1S8,A0A251S1S8_HELAN ent-kaurene synthase,Helianthus annuus,4232,HannXRQ_Chr16g0523991,774,
A0A251S1S9,A0A251S1S9_HELAN ent-kaurene synthase,Helianthus annuus,4232,KS1,772,
A0A251S1W5,A0A251S1W5_HELAN ent-kaurene synthase,Helianthus annuus,4232,GA2,774,
A0A261XZV5,A0A261XZV5_9FUNG TRAF-type domain-containing protein,Bifiguratus adelaidae,1938954,BZG36_03953,1495,
A0A2A2PFX6,A0A2A2PFX6_9PSED Isopentenyl-diphosphate Delta-isomerase,Pseudomonas moraviensis,321662,idi,515,
A0A2C5WGG9,A0A2C5WGG9_PSEPU Isopentenyl-diphosphate Delta-isomerase,Pseudomonas putida,303,idi,515,
A0A2K9RFZ8,"TPS3_VITAC Syn-copalyl diphosphate synthase TPS3, chloroplastic",Vitex agnus-castus,54477,TPS3,814,
A0A2U8U2L5,ASR6_SARSH Alpha-humulene synthase asR6,Sarocladium schorii,2203296,asR6,430,
A0A348B785,STS9_POSPM Sesquiterpene synthase 9,Postia placenta (strain ATCC 44394 / Madison 698-R),561896,STS-09,344,
A0A3G1QTT3,KSL1_ISOER Ent-kaurene synthase-like 1,Isodon eriocalyx,662907,KSL1,776,
A0A3L6DH13,A0A3L6DH13_MAIZE NAD(P)H dehydrogenase (quinone),Zea mays,4577,TPS1_5,1045,
A0A3S4PTL2,A0A3S4PTL2_PSEFL Isopentenyl-diphosphate Delta-isomerase,Pseudomonas fluorescens,294,idi,514,
A0A4D6IA24,KABA_DIGSM Magnesium-dependent glutamate N-prenyltransferase,Digenea simplex,945030,kabA,439,
A0A4P8GFV8,EUPE_PHOSX Alpha-humulene synthase eupE,Phoma sp,1707701,eupE,379,
A0A4Y5QWA6,T18VF_CANSA (E)-nerolidol synthase TPS18VF,Cannabis sativa,3483,TPS18VF,554,
A0A4Y5QWK5,T15CT_CANSA Beta-myrcene synthase TPS15CT,Cannabis sativa,3483,TPS15CT,633,
A0A516F405,PENIA_PENPA Silphinene synthase peniA,Penicillium patulum,5078,peniA,372,
A0A5E7FP25,A0A5E7FP25_PSEFL Isopentenyl-diphosphate Delta-isomerase,Pseudomonas fluorescens,294,idi,507,
A0A5E7HVZ1,A0A5E7HVZ1_PSEFL Isopentenyl-diphosphate Delta-isomerase,Pseudomonas fluorescens,294,idi,515,
A0A5P8DHZ6,"CPS2_ISOJA Copalyl diphosphate synthase 2, chloroplastic",Isodon japonicus,425908,CPS2,800,
A0A5P8DI07,"KSL2_ISOJA Miltiradiene synthase KSL2, chloroplastic",Isodon japonicus,425908,KSL2,597,
A0A5P8DI15,CPS1_ISOJA Ent-copalyl diphosphate synthase 1,Isodon japonicus,425908,CPS1,711,
A0A7C8UI19,A0A7C8UI19_ORBOL ATP-dependent RNA helicase,Orbilia oligospora,2813651,DBP7,1160,
A0A7G7YAG0,A0A7G7YAG0_9AQUA ent-kaurene synthase,Ilex latifolia,53205,,817,
A0A7J6HK32,TS9FN_CANSA Beta-caryophyllene synthase TPS9FN,Cannabis sativa,3483,TPS9FN,556,
A0A804U7D8,A0A804U7D8_MAIZE S-linalool synthase,Zea mays,4577,,573,
A0A8J8XMT5,A0A8J8XMT5_MAIZE S-linalool synthase,Zea mays,4577,LIS_0,583,
A0AAP8YWI0,A0AAP8YWI0_PSEFL Isopentenyl-diphosphate Delta-isomerase,Pseudomonas fluorescens,294,idi,515,
B6SCF3,"MTS1_HUMLU Probable monoterpene synthase MTS1, chloroplastic",Humulus lupulus,3486,,585,
B8NHE1,FLVF_ASPFN Terpene cyclase-like protein flvF,Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167),332952,flvF,366,
B9SBU9,TPS5_RICCO Terpene synthase 5,Ricinus communis,3988,TPS5,552,
B9T536,TPS10_RICCO Terpene synthase 10,Ricinus communis,3988,TPS10,551,
D0VMR5,DGUSI_AQUCR Inactive delta-guaiene synthase,Aquilaria crassna,223751,C1,547,
D5SK09,HPS_STRCL Hydropyrene synthase,Streptomyces clavuligerus,1901,SCLAV_p0765,321,
G8H5N3,TPS16_SOLLC Terpene synthase 16,Solanum lycopersicum,4081,TPS16,553,
K9Y645,"GTPS3_THYVU Putative terpene synthase 3, chloroplastic",Thymus vulgaris,49992,TPS3,596,
K9Y6Y9,"GTPS2_THYVU Putative terpene synthase 2, chloroplastic",Thymus vulgaris,49992,TPS2,596,
O22184,TPS05_ARATH Putative terpenoid synthase 5,Arabidopsis thaliana,3702,TPS05,596,
O23651,TPS01_ARATH Terpenoid synthase 1,Arabidopsis thaliana,3702,TPS01,598,
P9WER0,BRAA_ANNTR Terpene cyclase braA,Annulohypoxylon truncatum,327061,braA,375,
P9WER5,TVTS_TALVE Talaropentaene synthase,Talaromyces verruculosus,198730,,671,
P9WEY5,TPS3_PHYPO Terpene synthase 3,Physarum polycephalum,5791,TPS3,353,
P9WEY6,TPS2_PHYPO Terpene synthase 2,Physarum polycephalum,5791,TPS2,347,
Q0JA83,KSL3_ORYSJ Ent-kaurene synthase-like 3,Oryza sativa subsp. japonica,39947,KSL3,739,
Q20HU6,"SELNS_PICSI Delta-selinene-like synthase, chloroplastic",Picea sitchensis,3332,TPS-Sell,575,
Q29VN1,"TPS3_MAIZE Probable terpene synthase 3, chloroplastic",Zea mays,4577,TPS3,574,
Q2U0K2,HEPA_ASPOR Sesquiterpene cyclase hepA,Aspergillus oryzae (strain ATCC 42149 / RIB 40),510516,hepA,369,
Q54YE1,TPS7_DICDI Terpene synthase 7,Dictyostelium discoideum,44689,TPS7,339,
Q55E23,TPS1_DICDI Terpene synthase 1,Dictyostelium discoideum,44689,TPS1,345,
Q6JD69,TPS5B_MAIZE Inactive sesquithujene synthase B,Zea mays,4577,TPS5B,554,
Q6JD71,TPS4B_MAIZE Inactive 7-epi-sesquithujene synthase,Zea mays,4577,TPS4,460,
Q75J90,TPS4_DICDI Terpene synthase 4,Dictyostelium discoideum,44689,TPS4,335,
Q8L7G4,TPS09_ARATH Terpenoid synthase 9,Arabidopsis thaliana,3702,TPS09,607,
Q9C6W6,TPS29_ARATH Terpenoid synthase 29,Arabidopsis thaliana,3702,TPS29,607,
Q9C8E3,TPS26_ARATH Terpenoid synthase 26,Arabidopsis thaliana,3702,TPS26,598,
Q9FI27,"TPS20_ARATH Inactive terpenoid synthase 20, chloroplastic",Arabidopsis thaliana,3702,TPS20,575,
Q9LH31,TPS30_ARATH Terpenoid synthase 30,Arabidopsis thaliana,3702,TPS30,604,
Q9LQ27,TPS22_ARATH Terpenoid synthase 22,Arabidopsis thaliana,3702,TPS22,603,
Q9LS76,TPS15_ARATH Terpenoid synthase 15,Arabidopsis thaliana,3702,TPS15,601,
R4YVJ8,TPS8_COFAR Putative monoterpene synthase 8,Coffea arabica,13443,TPS8,580,
R9QMR2,"MTPS1_PINBN Monoterpene synthase like 1, chloroplastic",Pinus banksiana,3353,TPS-mono1,628,
R9QMW6,"MTPS2_PINBN Monoterpene synthase like 2, chloroplastic",Pinus banksiana,3353,TPS-mono2,628,
R9QMY7,"MTPS1_PINCO Monoterpene synthase like 1, chloroplastic",Pinus contorta,3339,TPS-mono1,627,
A0A010QGH7,A0A010QGH7_9PEZI Terpene synthase,Colletotrichum fioriniae PJ7,1445577,CFIO01_13675,645,
A0A010QYQ5,A0A010QYQ5_9PEZI Terpene synthase,Colletotrichum fioriniae PJ7,1445577,CFIO01_11741,326,
A0A010S4G2,A0A010S4G2_9PEZI Terpene synthase,Colletotrichum fioriniae PJ7,1445577,CFIO01_06058,438,
A0A010S4I9,A0A010S4I9_9PEZI Terpene synthase,Colletotrichum fioriniae PJ7,1445577,CFIO01_06870,397,
A0A017SNL7,A0A017SNL7_ASPRC Terpenoid synthase,Aspergillus ruber (strain CBS 135680),1388766,EURHEDRAFT_400056,646,
A0A017T654,A0A017T654_9BACT Terpene synthase,Chondromyces apiculatus DSM 436,1192034,CAP_4169,796,
A0A022PWJ8,A0A022PWJ8_ERYGU Valerianol synthase,Erythranthe guttata,4155,MIMGU_mgv1a018094mg,561,
A0A022QCL9,A0A022QCL9_ERYGU Terpene synthase metal-binding domain-containing protein,Erythranthe guttata,4155,MIMGU_mgv1a022050mg,430,
A0A022QM19,A0A022QM19_ERYGU Terpene synthase metal-binding domain-containing protein,Erythranthe guttata,4155,MIMGU_mgv1a006406mg,445,
A0A022WH80,A0A022WH80_TRIRU Copalyl diphosphate synthase,Trichophyton rubrum CBS 288.86,1215330,H103_00208,971,
A0A022Y764,A0A022Y764_TRISD Copalyl diphosphate synthase,Trichophyton soudanense CBS 452.61,1215331,H105_00199,971,
A0A024RWJ3,A0A024RWJ3_HYPJR Terpene synthase,Hypocrea jecorina (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / Rut C-30),1344414,M419DRAFT_12695,386,
A0A059JJZ0,A0A059JJZ0_TRIIM Ent-kaurene synthase,Trichophyton interdigitale (strain MR816),1215338,H109_00128,971,
A0A060SCC7,A0A060SCC7_PYCCI Terpene synthase,Pycnoporus cinnabarinus,5643,BN946_scf184836.g8,432,
A0A060ZZR1,A0A060ZZR1_9ACTN Terpene synthase,Streptomyces iranensis,576784,J2Z30_001075,432,
A0A061F5F8,A0A061F5F8_THECC (+)-delta-cadinene synthase,Theobroma cacao,3641,TCM_031106,522,
A0A061F5L8,A0A061F5L8_THECC (+)-delta-cadinene synthase,Theobroma cacao,3641,TCM_031140,553,
A0A061F6J9,A0A061F6J9_THECC (+)-delta-cadinene synthase,Theobroma cacao,3641,TCM_031141,586,
A0A061F7I6,A0A061F7I6_THECC (+)-delta-cadinene synthase,Theobroma cacao,3641,TCM_031137,553,
A0A061F9B8,A0A061F9B8_THECC (+)-delta-cadinene synthase,Theobroma cacao,3641,TCM_032807,516,
A0A061FBH4,A0A061FBH4_THECC (+)-delta-cadinene synthase,Theobroma cacao,3641,TCM_033537,549,
A0A066U7L8,A0A066U7L8_9PSEU Terpene synthase,Amycolatopsis rifamycinica,287986,DV20_21690,373,
A0A066X8C3,A0A066X8C3_COLSU Terpene synthase,Colletotrichum sublineola,1173701,CSUB01_06022,334,
A0A066YQY7,A0A066YQY7_9ACTN 2-methylisoborneol synthase,Kitasatospora cheerisanensis KCTC 2395,1348663,KCH_51140,397,
A0A067JSW6,A0A067JSW6_JATCU Terpene synthase,Jatropha curcas,180498,JCGZ_02849,509,
A0A067KMP6,A0A067KMP6_JATCU (+)-delta-cadinene synthase,Jatropha curcas,180498,JCGZ_09953,510,
A0A067KS26,A0A067KS26_JATCU Uncharacterized protein,Jatropha curcas,180498,JCGZ_00783,893,
A0A067KVG8,A0A067KVG8_JATCU (+)-delta-cadinene synthase,Jatropha curcas,180498,JCGZ_09950,555,
A0A067LA52,A0A067LA52_JATCU ent-kaurene synthase,Jatropha curcas,180498,JCGZ_03790,781,
A0A067SNI8,A0A067SNI8_GALM3 Terpene synthase,Galerina marginata (strain CBS 339.88),685588,GALMADRAFT_143861,396,
A0A068EN29,A0A068EN29_THYCA Gamma-terpinene synthase,Thymus caespititius,751871,TPS4,554,
A0A068UC19,A0A068UC19_COFCA myrcene synthase,Coffea canephora,49390,GSCOC_T00021108001,550,
A0A068UDW2,A0A068UDW2_COFCA myrcene synthase,Coffea canephora,49390,GSCOC_T00021109001,551,
A0A068UVG5,A0A068UVG5_COFCA myrcene synthase,Coffea canephora,49390,GSCOC_T00035731001,470,
A0A068V7I3,A0A068V7I3_COFCA myrcene synthase,Coffea canephora,49390,GSCOC_T00018383001,487,
A0A071M8M2,A0A071M8M2_9BURK Terpene synthase,Burkholderia cenocepacia,95486,DT99_24825,360,
A0A075UVY4,A0A075UVY4_9PSEU Terpene synthase,Amycolatopsis japonica,208439,AJAP_18590,376,
A0A078H3G0,A0A078H3G0_BRANA BnaC01g36750D protein,Brassica napus,3708,BnaC01g36750D,620,
A0A078HP04,A0A078HP04_BRANA (rape) hypothetical protein,Brassica napus,3708,BnaA01g29370D,602,
A0A078HP07,A0A078HP07_BRANA BnaA01g29320D protein,Brassica napus,3708,BnaA01g29320D,559,
A0A078IZJ5,A0A078IZJ5_BRANA BnaA08g30440D protein,Brassica napus,3708,BnaA08g30440D,575,
A0A084FVS4,A0A084FVS4_PSEDA Terpene synthase,Pseudallescheria apiosperma,563466,SAPIO_CDS9843,317,
A0A084QPD1,A0A084QPD1_STAC4 Terpene synthase,Stachybotrys chlorohalonatus (strain IBT 40285),1283841,S40285_05367,391,
A0A084R1K7,ATR13_STAC4 Terpene cyclase ATR13,Stachybotrys chlorohalonatus (strain IBT 40285),1283841,ATR13,381,
A0A087GCT8,A0A087GCT8_ARAAL Uncharacterized protein,Arabis alpina,50452,AALP_Aa8g415900,528,
A0A093V6X7,A0A093V6X7_TALMA Fusicoccadiene synthase,Talaromyces marneffei PM1,1077442,GQ26_0221230,561,
A0A096R869,A0A096R869_MAIZE ent-copalyl diphosphate synthase,Zea mays,4577,an1,724,
A0A097ZQA8,A0A097ZQA8_9ACTN Terpene synthase,Streptomyces sp. SK 1894,1533813,sspsk5794,522,
A0A097ZQB3,A0A097ZQB3_9ACTN Terpene synthase,Streptomyces sp. ND90,1533814,nd90_4926,322,
A0A097ZQB6,A0A097ZQB6_9ACTN Terpene synthase,Streptomyces cyaneogriseus subsp. noncyanogenus,477245,penA,337,
A0A097ZQC7,A0A097ZQC7_9ACTN Terpene synthase,Streptomyces sp. SK 1894,1533813,sspsk6215,403,
A0A097ZQD1,A0A097ZQD1_9ACTN Terpene synthase,Streptomyces sp. ND90,1533814,nd90_0354,343,
A0A097ZQD3,A0A097ZQD3_9ACTN Terpene synthase,Streptomyces lactacystinaeus,1332838,slt18_214,422,
A0A097ZQE0,A0A097ZQE0_9ACTN Terpene synthase,Streptomyces sp. ND90,1533814,nd90_4247,392,
A0A097ZQE4,A0A097ZQE4_9ACTN Terpene synthase,Streptomyces sp. SK 1894,1533813,sspsk3051,369,
A0A097ZQE6,A0A097ZQE6_9ACTN Terpene synthase,Streptomyces sp. ND90,1533814,nd90_2413,341,
A0A098D1R2,A0A098D1R2_GIBZE Terpene synthase,Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1),229533,FG00451.1,340,
A0A098DVT4,A0A098DVT4_GIBZE Terpene synthase,Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1),229533,FG07673.1,394,
A0A099D720,A0A099D720_9ACTN Terpene synthase,Actinopolyspora erythraea,414996,CDG81_12895,781,
A0A0A0NB65,A0A0A0NB65_STRRN Terpene synthase,Streptomyces rapamycinicus (strain ATCC 29253 / DSM 41530 / NRRL 5491 / AYB-994),1343740,D3C57_117540,800,
A0A0A0NWB7,A0A0A0NWB7_STRRN Terpene synthase,Streptomyces rapamycinicus (strain ATCC 29253 / DSM 41530 / NRRL 5491 / AYB-994),1343740,D3C57_102290,376,
A0A0A2JHT0,A0A0A2JHT0_PENEN Terpenoid synthase,Penicillium expansum,27334,PEX2_038440,684,
A0A0A2KQ58,A0A0A2KQ58_PENIT Terpene synthase,Penicillium italicum,40296,PITC_038120,381,
A0A0A2LGD1,A0A0A2LGD1_PENIT Terpenoid synthase,Penicillium italicum,40296,PITC_058830,740,
A0A0A2LHA0,A0A0A2LHA0_PENIT Terpene synthase,Penicillium italicum,40296,PITC_073360,329,
A0A0B0MPV5,A0A0B0MPV5_GOSAR (+)-delta-cadinene synthase,Gossypium arboreum,29729,F383_21197,583,
A0A0B0MQU3,A0A0B0MQU3_GOSAR (+)-delta-cadinene synthase,Gossypium arboreum,29729,F383_14286,555,
A0A0B0N2F3,A0A0B0N2F3_GOSAR (+)-delta-cadinene synthase,Gossypium arboreum,29729,F383_31471,554,
A0A0B0N3N9,A0A0B0N3N9_GOSAR (+)-delta-cadinene synthase,Gossypium arboreum,29729,F383_12922,289,
A0A0B0NTY2,A0A0B0NTY2_GOSAR (+)-delta-cadinene synthase,Gossypium arboreum,29729,F383_17139,452,
A0A0B0NU20,A0A0B0NU20_GOSAR (+)-delta-cadinene synthase,Gossypium arboreum,29729,F383_23823,564,
A0A0B0NUB2,A0A0B0NUB2_GOSAR (+)-delta-cadinene synthase,Gossypium arboreum,29729,F383_22563,333,
A0A0B0NUX1,A0A0B0NUX1_GOSAR (+)-delta-cadinene synthase,Gossypium arboreum,29729,F383_18495,564,
A0A0B0NZ75,A0A0B0NZ75_GOSAR (+)-delta-cadinene synthase,Gossypium arboreum,29729,F383_22069,232,
A0A0B0P8V0,A0A0B0P8V0_GOSAR (+)-delta-cadinene synthase,Gossypium arboreum,29729,F383_04118,391,
A0A0B0PVD8,A0A0B0PVD8_GOSAR (+)-delta-cadinene synthase,Gossypium arboreum,29729,F383_08395,536,
A0A0B5I2N4,A0A0B5I2N4_9ACTN Terpene synthase,Streptomyces vietnamensis,362257,SVTN_32730,464,
A0A0B7FXK8,A0A0B7FXK8_THACB Terpene synthase,Thanatephorus cucumeris (strain AG1-IB / isolate 7/3/14),1108050,RSOLAG1IB_10138,397,
A0A0B7K9S0,A0A0B7K9S0_BIOOC Ent-kaurene synthase,Bionectria ochroleuca,29856,BN869_000007514_1,996,
A0A0B8N1E4,A0A0B8N1E4_TALPI Uncharacterized protein,Talaromyces pinophilus,128442,TCE0_043r15530,586,
A0A0C1E367,A0A0C1E367_ASPUT Terpene synthase,Aspergillus ustus,40382,HK57_00225,357,
A0A0C2A6E6,A0A0C2A6E6_9BACT Terpene synthase,Enhygromyxa salina,215803,DB30_06564,787,
A0A0C2IW61,A0A0C2IW61_9PEZI Terpene synthase,Sporothrix brasiliensis 5110,1398154,SPBR_04258,371,
A0A0C2WXE5,A0A0C2WXE5_AMAMK Terpene synthase,Amanita muscaria (strain Koide BX008),946122,M378DRAFT_167361,379,
A0A0C2Y398,A0A0C2Y398_HEBCY Terpene synthase,Hebeloma cylindrosporum,76867,M413DRAFT_32419,698,
A0A0C2ZQY6,A0A0C2ZQY6_9AGAM Terpene synthase,Scleroderma citrinum Foug A,1036808,SCLCIDRAFT_135470,384,
A0A0C3B2M7,A0A0C3B2M7_SERVB Terpene synthase,Serendipita vermifera MAFF 305830,933852,M408DRAFT_327964,541,
A0A0C3CJN0,A0A0C3CJN0_HEBCY Terpene synthase,Hebeloma cylindrosporum,76867,M413DRAFT_443041,375,
A0A0C3MF46,A0A0C3MF46_9AGAM Terpene synthase,Tulasnella calospora MUT 4182,1051891,M407DRAFT_66752,451,
A0A0C3MF90,A0A0C3MF90_9AGAM Terpene synthase,Tulasnella calospora MUT 4182,1051891,M407DRAFT_214353,370,
A0A0C3QPD1,A0A0C3QPD1_9AGAM Terpene synthase,Tulasnella calospora MUT 4182,1051891,M407DRAFT_70959,392,
A0A0C3QUZ0,A0A0C3QUZ0_9AGAM Terpene synthase,Tulasnella calospora MUT 4182,1051891,M407DRAFT_214286,448,
A0A0C4E438,A0A0C4E438_MAGP6 Terpene synthase,Magnaporthiopsis poae (strain ATCC 64411 / 73-15),644358,MAPG_07226,408,
A0A0C4Y1V4,A0A0C4Y1V4_9ACTN Terpene synthase,Streptomyces sp. LZ35,1245024,,431,
A0A0C5KH39,"A0A0C5KH39_PHYED (E, E)-farnesol synthase",Phyllostachys edulis,38705,TPS2,546,
A0A0C5L210,A0A0C5L210_PESMI Putative taxadiene synthase,Pestalotiopsis microspora,85828,,1004,
A0A0C5QH30,A0A0C5QH30_SALFT Kaurene synthase-like protein,Salvia fruticosa,268906,KSL,584,
A0A0C9TTH5,A0A0C9TTH5_PAXIN Terpene synthase,Paxillus involutus ATCC 200175,664439,PAXINDRAFT_86018,375,
A0A0C9W4U2,A0A0C9W4U2_SPHS4 Terpene synthase,Sphaerobolus stellatus (strain SS14),990650,M422DRAFT_249820,359,
A0A0C9WNP1,A0A0C9WNP1_9AGAR Terpene synthase,Laccaria amethystina LaAM-08-1,1095629,K443DRAFT_133140,334,
A0A0D0AG97,A0A0D0AG97_9AGAM Terpene synthase,Pisolithus microcarpus 441,765257,PISMIDRAFT_85821,386,
A0A0D0D0K6,A0A0D0D0K6_9AGAR Terpene synthase,Collybiopsis luxurians FD-317 M1,944289,GYMLUDRAFT_164402,348,
A0A0D0D3V4,A0A0D0D3V4_9AGAM Terpene synthase,Paxillus rubicundulus Ve08.2h10,930991,PAXRUDRAFT_834646,384,
A0A0D2M9A5,A0A0D2M9A5_GOSRA (+)-delta-cadinene synthase,Gossypium raimondii,29730,B456_002G106500,549,
A0A0D2NS17,A0A0D2NS17_GOSRA (+)-delta-cadinene synthase,Gossypium raimondii,29730,B456_002G234600,556,
A0A0D2QB38,A0A0D2QB38_GOSRA (+)-delta-cadinene synthase,Gossypium raimondii,29730,B456_002G234600,556,
A0A0D2QXJ4,A0A0D2QXJ4_GOSRA (+)-delta-cadinene synthase,Gossypium raimondii,29730,B456_009G428500,554,
A0A0D2QXL1,A0A0D2QXL1_GOSRA (+)-delta-cadinene synthase,Gossypium raimondii,29730,B456_009G428600,554,
A0A0D2R283,A0A0D2R283_GOSRA (+)-delta-cadinene synthase,Gossypium raimondii,29730,B456_002G080400,416,
A0A0D2RBI8,A0A0D2RBI8_GOSRA (+)-delta-cadinene synthase,Gossypium raimondii,29730,B456_002G234600,556,
A0A0D2RF04,A0A0D2RF04_GOSRA (+)-delta-cadinene synthase,Gossypium raimondii,29730,B456_011G005500,604,
A0A0D2SF99,A0A0D2SF99_GOSRA (+)-delta-cadinene synthase,Gossypium raimondii,29730,B456_013G164900,555,
A0A0D2SHM4,A0A0D2SHM4_GOSRA (+)-delta-cadinene synthase,Gossypium raimondii,29730,B456_009G428500,458,
A0A0D2SHP6,A0A0D2SHP6_GOSRA (+)-delta-cadinene synthase,Gossypium raimondii,29730,B456_009G428700,529,
A0A0D2U0V5,A0A0D2U0V5_GOSRA (+)-delta-cadinene synthase,Gossypium raimondii,29730,B456_009G428500,338,
A0A0D2U0W9,A0A0D2U0W9_GOSRA (+)-delta-cadinene synthase,Gossypium raimondii,29730,B456_009G427900,554,
A0A0D2U0X2,A0A0D2U0X2_GOSRA (+)-delta-cadinene synthase,Gossypium raimondii,29730,B456_009G428200,554,
A0A0D2U3X1,A0A0D2U3X1_GOSRA (+)-delta-cadinene synthase,Gossypium raimondii,29730,B456_009G428400,554,
A0A0D2V1H8,A0A0D2V1H8_GOSRA (+)-delta-cadinene synthase,Gossypium raimondii,29730,B456_009G428000,554,
A0A0D2V1I1,A0A0D2V1I1_GOSRA (+)-delta-cadinene synthase,Gossypium raimondii,29730,B456_009G428300,554,
A0A0D2Y6N9,A0A0D2Y6N9_FUSOF Terpene synthase,Fusarium oxysporum (strain Fo5176),660025,28953319,402,
A0A0D2Y7G3,A0A0D2Y7G3_FUSOF Terpene synthase,Fusarium oxysporum (strain Fo5176),660025,28953579,401,
A0A0D2YB87,A0A0D2YB87_FUSOF Terpene synthase,Fusarium oxysporum (strain Fo5176),660025,,360,
A0A0D3E1Q9,A0A0D3E1Q9_BRAOL Terpene synthase metal-binding domain-containing protein,Brassica oleracea var. oleracea,109376,,601,
A0A0D3F3M2,A0A0D3F3M2_9ORYZ ent-copalyl diphosphate synthase,Oryza barthii,65489,,725,
